,City,Latitude,Longitude,Latitude_num,Longitude_num,avg_d_kbps
261,BR: Norte-ParÃ¡-Benevides,-1.361388888888889,-48.24472222222222,-1.361388888888889,-48.24472222222222,76048
262,BR: Sudeste-SÃ£o Bernardo Do Campo,-23.69388888888889,-46.565,-23.69388888888889,-46.565,202148
263,BR: Sudeste-SÃ£o Paulo-Limeira,-22.564722222222223,-47.401666666666664,-22.564722222222223,-47.401666666666664,153395
264,BR: Norte-Manaus,-3.1019444444444444,-60.025,-3.1019444444444444,-60.025,188000
265,BR: Norte-MarabÃ¡,-5.381388888888888,-49.132222222222225,-5.381388888888888,-49.132222222222225,181443
266,BR: Sudeste-SertÃ£ozinho,-21.137777777777778,-47.99027777777778,-21.137777777777778,-47.99027777777778,220422
267,BR: Sudeste-SÃ£o JoÃ£o Da Boa Vista,-21.969166666666666,-46.79805555555556,-21.969166666666666,-46.79805555555556,138060
268,BR: Sul-Cachoeira do Sul,-30.039166666666667,-52.89388888888889,-30.039166666666667,-52.89388888888889,82552
269,BR: Sudeste-Sorocaba,-23.501666666666665,-47.45805555555556,-23.501666666666665,-47.45805555555556,192791
270,BR: Nordeste-PiauÃ­-Passagem Franca,-5.827222222222222,-42.405833333333334,-5.827222222222222,-42.405833333333334,88783
271,BR: Sudeste-Diadema,-23.68611111111111,-46.62277777777778,-23.68611111111111,-46.62277777777778,206247
272,BR: Sudeste-Campinas,-22.905555555555555,-47.06083333333333,-22.905555555555555,-47.06083333333333,221787
273,BR: Nordeste-MaranhÃ£o-Santo Amaro do MaranhÃ£o,-2.62,-43.165,-2.62,-43.165,82
274,BR: Centro Oeste-GoiÃ¡s-Santa Rosa de GoiÃ¡s,-16.06972222222222,-49.481388888888894,-16.06972222222222,-49.481388888888894,12309
275,BR: Norte-AraguaÃ­na,-7.191111111111112,-48.20722222222223,-7.191111111111112,-48.20722222222223,272339
276,BR: Nordeste-BahÃ­a-Vera Cruz,-13.025277777777779,-38.70888888888889,-13.025277777777779,-38.70888888888889,8606
277,BR: Sudeste-SÃ£o Paulo-OrlÃ¢ndia,-20.68888888888889,-47.89527777777778,-20.68888888888889,-47.89527777777778,23499
278,BR: Sudeste-Governador Valadares,-18.851111111111113,-41.94944444444444,-18.851111111111113,-41.94944444444444,141898
279,BR: Norte-BraganÃ§a,-1.053611111111111,-46.76555555555556,-1.053611111111111,-46.76555555555556,159330
280,BR: Sul-Caxias Do Sul,-29.168055555555558,-51.17944444444444,-29.168055555555558,-51.17944444444444,183378
281,BR: Nordeste-Feira De Santana,-12.266666666666667,-38.96666666666667,-12.266666666666667,-38.96666666666667,152424
282,BR: Sul-Colombo,-25.291666666666668,-49.22416666666667,-25.291666666666668,-49.22416666666667,192573
283,BR: Centro Oeste-Planaltina,-15.452777777777778,-47.61416666666667,-15.452777777777778,-47.61416666666667,99474
284,BR: Nordeste-Pacajus,-4.1775,-38.518055555555556,-4.1775,-38.518055555555556,38553
285,BR: Sul-Cascavel,-24.95583333333333,-53.45527777777778,-24.95583333333333,-53.45527777777778,157494
286,BR: Centro Oeste-BrasÃ­lia,-15.0,-52.0,-15.0,-52.0,7655
287,BR: Centro Oeste-GoioerÃª-Campina da Lagoa,0.0,0.0,0.0,0.0,24021
288,BR: Centro Oeste-Mato Grosso do Sul-Ponta PorÃ£,-22.53611111111111,-55.72555555555556,-22.53611111111111,-55.72555555555556,112710
289,BR: Sul-Rio Grande-Rondinha,-27.83277777777778,-52.91638888888889,-27.83277777777778,-52.91638888888889,24536
290,BR: Sul-SÃ£o JosÃ© Dos Pinhais,-25.529999999999998,-49.208333333333336,-25.529999999999998,-49.208333333333336,170827
291,BR: Sudeste-AraÃ§atuba,-21.20888888888889,-50.43277777777777,-21.20888888888889,-50.43277777777777,199288
292,BR: Nordeste-Rio Grande del Norte-MossorÃ³,-5.1875,-37.344166666666666,-5.1875,-37.344166666666666,101075
293,BR: Sudeste-GuarujÃ¡,-23.993055555555557,-46.256388888888885,-23.993055555555557,-46.256388888888885,216481
294,BR: Nordeste-Itabuna,-14.785555555555556,-39.280277777777776,-14.785555555555556,-39.280277777777776,171611
295,BR: Sul-Santa Catarina-Lebon RÃ©gis,-26.884999999999998,-50.67805555555555,-26.884999999999998,-50.67805555555555,2463
296,BR: Nordeste-Paulista,-7.940833333333334,-34.87305555555555,-7.940833333333334,-34.87305555555555,141747
297,BR: Norte-BelÃ©m,-1.4558333333333333,-48.504444444444445,-1.4558333333333333,-48.504444444444445,254435
298,BR: Nordeste-JaboatÃ£o Dos Guararapes,-8.112777777777778,-35.014722222222225,-8.112777777777778,-35.014722222222225,70188
299,BR: Sudeste-Santo AndrÃ©,-23.663888888888888,-46.538333333333334,-23.663888888888888,-46.538333333333334,219168
300,BR: Sudeste-Belo Horizonte,-19.920833333333334,-43.937777777777775,-19.920833333333334,-43.937777777777775,198367
301,BR: Sudeste-Bauru,-22.314722222222223,-49.06055555555555,-22.314722222222223,-49.06055555555555,210279
302,BR: Sudeste-SÃ£o JosÃ© dos Campos,-23.179444444444446,-45.886944444444445,-23.179444444444446,-45.886944444444445,200684
303,BR: Nordeste-Pernambuco-Gameleira,-8.590277777777779,-35.36527777777778,-8.590277777777779,-35.36527777777778,35439
304,BR: Sul-ParanÃ¡-Rio Branco do IvaÃ­,-24.355833333333333,-51.341944444444444,-24.355833333333333,-51.341944444444444,13132
305,BR: Sudeste-NiterÃ³i,-22.883333333333333,-43.103611111111114,-22.883333333333333,-43.103611111111114,130516
306,BR: Sul-Esteio,-29.85,-51.16611111111111,-29.85,-51.16611111111111,161373
307,BR: Nordeste-Aracaju,-10.911111111111111,-37.07166666666667,-10.911111111111111,-37.07166666666667,147254
308,BR: Sudeste-Santa Luzia,-21.66472222222222,-48.08277777777778,-21.66472222222222,-48.08277777777778,102153
309,BR: Nordeste-Jaqueira,-8.73861111111111,-35.79833333333333,-8.73861111111111,-35.79833333333333,13298
310,BR: Sul-Porto Alegre,-30.032777777777778,-51.230000000000004,-30.032777777777778,-51.230000000000004,200693
311,BR: Nordeste-ParaÃ­ba-Natuba,-7.558055555555556,-35.54611111111111,-7.558055555555556,-35.54611111111111,2722
312,BR: Nordeste-CearÃ¡-AssarÃ©,-6.897222222222221,-39.82888888888889,-6.897222222222221,-39.82888888888889,1772
313,BR: Sul-JaraguÃ¡ Do Sul,-26.48611111111111,-49.06666666666667,-26.48611111111111,-49.06666666666667,193668
314,BR: Sudeste-Contagem,-19.93166666666667,-44.05361111111111,-19.93166666666667,-44.05361111111111,203733
315,BR: Sudeste-ItaboraÃ­,-22.744444444444447,-42.85944444444445,-22.744444444444447,-42.85944444444445,171916
316,BR: Sudeste-Nova IguaÃ§u,-22.759166666666665,-43.45111111111111,-22.759166666666665,-43.45111111111111,225219
317,BR: Nordeste-ParaÃ­ba-AraÃ§agi,-6.854166666666666,-35.36027777777778,-6.854166666666666,-35.36027777777778,36882
318,BR: Sudeste-Rio De Janeiro-PorciÃºncula,-20.896944444444443,-41.94944444444444,-20.896944444444443,-41.94944444444444,10694
319,BR: Sul-Alvorada,-29.990277777777777,-51.07805555555556,-29.990277777777777,-51.07805555555556,219915
320,BR: Nordeste-VitÃ³ria da Conquista,-14.866111111111111,-40.839444444444446,-14.866111111111111,-40.839444444444446,199690
321,BR: Nordeste-Pernambuco-Riacho das Almas,-8.05388888888889,-35.82611111111112,-8.05388888888889,-35.82611111111112,1416
322,BR: Nordeste-Recife,-8.05388888888889,-34.88111111111111,-8.05388888888889,-34.88111111111111,182957
323,BR: Sudeste-SÃ£o GonÃ§alo,-22.815555555555555,-43.04111111111111,-22.815555555555555,-43.04111111111111,193774
324,BR: Sudeste-Belford Roxo,-22.764166666666668,-43.39944444444444,-22.764166666666668,-43.39944444444444,241091
325,BR: Sudeste-Passos,-20.718888888888888,-46.609722222222224,-20.718888888888888,-46.609722222222224,125717
326,BR: Sudeste-Araruama,-22.872777777777777,-42.34305555555556,-22.872777777777777,-42.34305555555556,219556
327,BR: Sudeste-Ouro Preto,-20.39472222222222,-43.505,-20.39472222222222,-43.505,163299
328,BR: Nordeste-SÃ£o LuÃ­s,-2.529722222222222,-44.30277777777778,-2.529722222222222,-44.30277777777778,105477
329,BR: Centro Oeste-GoiÃ¢nia,-16.678611111111113,-49.25388888888889,-16.678611111111113,-49.25388888888889,192748
330,CO: BogotÃ¡ D.C.,4.609444444444444,-74.08166666666666,4.609444444444444,-74.08166666666666,177708
331,CO: AtlÃ¡ntico,10.75,-75.0,10.75,-75.0,9731
332,CO: CÃ³rdoba,37.89138888888889,-4.7725,37.89138888888889,-4.7725,220952
333,CO: BolÃ­var,9.0,-74.33333333333333,9.0,-74.33333333333333,4190
334,CO: Magdalena,10.0,-74.5,10.0,-74.5,11361
335,CO: CÃ©sar,9.333333333333334,-73.5,9.333333333333334,-73.5,3761
336,CO: Antioquia,6.251666666666667,-75.56333333333333,6.251666666666667,-75.56333333333333,106910
337,CO: Huila,2.5,-75.58333333333333,2.5,-75.58333333333333,8935
338,CO: Risaralda,5.0,-76.0,5.0,-76.0,11926
339,CO: Tolima,4.0,-75.25,4.0,-75.25,4314
340,CO: Caldas,5.266666666666667,-75.33333333333333,5.266666666666667,-75.33333333333333,7347
341,CO: Santander,6.833333333333333,-73.41666666666667,6.833333333333333,-73.41666666666667,3737
342,CO: Meta,3.5,-73.0,3.5,-73.0,16730
343,CO: BoyacÃ¡,5.666666666666667,-73.0,5.666666666666667,-73.0,19029
344,CO: Cundinamarca,5.0,-74.16666666666667,5.0,-74.16666666666667,15443
345,CO: Norte de Santander,8.0,-73.0,8.0,-73.0,6981
346,CO: Valle del cauca,3.4372222222222226,-76.5225,3.4372222222222226,-76.5225,137884
347,CO: Cauca,3.4372222222222226,-76.5225,3.4372222222222226,-76.5225,137884
348,CO: NariÃ±o,1.5,-78.0,1.5,-78.0,438
349,CO: Amazonas,-1.1666666666666667,-71.5,-1.1666666666666667,-71.5,7977
350,CR: San JosÃ©-San JosÃ©,9.933333333333334,-84.08333333333333,9.933333333333334,-84.08333333333333,49307
351,CR: San JosÃ©-EscazÃº,9.91861111111111,-84.13972222222223,9.91861111111111,-84.13972222222223,90985
352,CR: San JosÃ©-Desamparados,9.855277777777777,-84.0411111111111,9.855277777777777,-84.0411111111111,109026
353,CR: San JosÃ©-AserrÃ­,9.866666666666667,-84.1,9.866666666666667,-84.1,12921
354,CR: San JosÃ©-Goicoechea,9.948333333333334,-84.06361111111111,9.948333333333334,-84.06361111111111,96314
355,CR: San JosÃ©-Santa Ana,9.924722222222222,-84.19388888888889,9.924722222222222,-84.19388888888889,81979
356,CR: San JosÃ©-Alajuelita,9.887222222222222,-84.11138888888888,9.887222222222222,-84.11138888888888,140891
357,CR: San JosÃ©-VÃ¡squez de Coronado,0.0,0.0,0.0,0.0,24021
358,CR: San JosÃ©-TibÃ¡s,9.966666666666667,-84.08333333333333,9.966666666666667,-84.08333333333333,117772
359,CR: San JosÃ©-Moravia,9.961944444444443,-84.04916666666666,9.961944444444443,-84.04916666666666,112737
360,CR: San JosÃ©-Montes de Oca,9.939444444444444,-84.03,9.939444444444444,-84.03,94960
361,CR: San JosÃ©-Curridabat,9.91388888888889,-84.03583333333333,9.91388888888889,-84.03583333333333,105151
362,CR: Alajuela-Central,10.016111111111112,-84.21138888888889,10.016111111111112,-84.21138888888889,93039
363,CR: Alajuela-Grecia,10.068888888888889,-84.31444444444445,10.068888888888889,-84.31444444444445,54976
364,CR: Alajuela-PoÃ¡s,10.083333333333334,-84.23333333333333,10.083333333333334,-84.23333333333333,49970
365,CR: Cartago-Central,9.864444444444445,-83.91944444444445,9.864444444444445,-83.91944444444445,88520
366,CR: Cartago-ParaÃ­so,9.838333333333335,-83.86638888888888,9.838333333333335,-83.86638888888888,78140
367,CR: Cartago-La UniÃ³n,9.916666666666666,-83.98333333333333,9.916666666666666,-83.98333333333333,83847
368,CR: Cartago-Oreamuno,9.982222222222223,-83.84944444444444,9.982222222222223,-83.84944444444444,11361
369,CR: Cartago-El Guarco,9.739166666666666,-83.92722222222223,9.739166666666666,-83.92722222222223,2901
370,CR: Heredia-Central,9.993611111111111,-84.12722222222222,9.993611111111111,-84.12722222222222,92542
371,CR: Heredia-Barva,10.066666666666666,-84.10833333333333,10.066666666666666,-84.10833333333333,68303
372,CR: Heredia-Santo Domingo,9.983333333333333,-84.06833333333333,9.983333333333333,-84.06833333333333,136043
373,CR: Heredia-Santa BÃ¡rbara,10.083333333333334,-84.15,10.083333333333334,-84.15,124965
374,CR: Heredia-San Rafael,10.046388888888888,-84.07527777777777,10.046388888888888,-84.07527777777777,145530
375,CR: Heredia-BelÃ©n,9.983333333333333,-84.16666666666667,9.983333333333333,-84.16666666666667,116196
376,CR: Heredia-San Pablo,9.996666666666666,-84.09333333333333,9.996666666666666,-84.09333333333333,96724
377,CR: San JosÃ©-TarrazÃº,9.659444444444444,-84.0213888888889,9.659444444444444,-84.0213888888889,37873
378,CR: San JosÃ©-Acosta,9.74472222222222,-84.23583333333333,9.74472222222222,-84.23583333333333,24726
379,CR: San JosÃ©-PÃ©rez ZeledÃ³n,9.474444444444444,-83.50833333333334,9.474444444444444,-83.50833333333334,1304
380,CR: Alajuela-San RamÃ³n,10.087777777777779,-84.47,10.087777777777779,-84.47,96061
381,CR: Alajuela-Naranjo,10.107777777777777,-84.39277777777778,10.107777777777777,-84.39277777777778,134162
382,CR: Alajuela-Palmares,10.040277777777778,-84.43666666666667,10.040277777777778,-84.43666666666667,71086
383,CR: Alajuela-Orotina,9.884722222222221,-84.5786111111111,9.884722222222221,-84.5786111111111,44212
384,CR: Alajuela-San Carlos,10.586388888888889,-84.40194444444445,10.586388888888889,-84.40194444444445,11928
385,CR: Alajuela-Zarcero,10.20861111111111,-84.40861111111111,10.20861111111111,-84.40861111111111,16099
386,CR: Alajuela-Upala,10.891944444444444,-85.01611111111112,10.891944444444444,-85.01611111111112,18633
387,CR: Alajuela-Los Chiles,11.035277777777777,-84.70583333333333,11.035277777777777,-84.70583333333333,82800
388,CR: Cartago-Turrialba,10.023055555555556,-83.76388888888889,10.023055555555556,-83.76388888888889,17853
389,CR: Heredia-SarapiquÃ­,10.5,-84.0,10.5,-84.0,52076
390,CR: Guanacaste-Liberia,10.635,-85.4375,10.635,-85.4375,66997
391,CR: Guanacaste-Nicoya,10.150277777777777,-85.45083333333334,10.150277777777777,-85.45083333333334,72657
392,CR: Guanacaste-Santa Cruz,10.260277777777778,-85.585,10.260277777777778,-85.585,110197
393,CR: Guanacaste-Bagaces,10.508055555555556,-85.26194444444444,10.508055555555556,-85.26194444444444,5242
394,CR: Guanacaste-Carrillo,10.414722222222222,-85.5886111111111,10.414722222222222,-85.5886111111111,75042
395,CR: Guanacaste-Abangares,10.2425,-84.99055555555556,10.2425,-84.99055555555556,47636
396,CR: Guanacaste-Nandayure,9.896388888888888,-85.31138888888889,9.896388888888888,-85.31138888888889,18380
397,CR: Puntarenas-Central,9.976666666666667,-84.83777777777777,9.976666666666667,-84.83777777777777,72140
398,CR: Puntarenas-Buenos Aires,9.1025,-83.25527777777778,9.1025,-83.25527777777778,5751
399,CR: Puntarenas-Montes de Oro,10.108333333333333,-84.74138888888889,10.108333333333333,-84.74138888888889,100069
400,CR: Puntarenas-Aguirre,9.431666666666667,-84.1613888888889,9.431666666666667,-84.1613888888889,67026
401,CR: Puntarenas-Golfito,8.65388888888889,-83.18194444444445,8.65388888888889,-83.18194444444445,32973
402,CR: Puntarenas-Coto Brus,8.885277777777777,-82.94111111111111,8.885277777777777,-82.94111111111111,1815
403,CR: Puntarenas-Corredores,8.532222222222224,-82.91861111111112,8.532222222222224,-82.91861111111112,11048
404,CR: Puntarenas-Garabito,9.61888888888889,-84.61999999999999,9.61888888888889,-84.61999999999999,72351
405,CR: LimÃ³n-Central,9.990555555555554,-83.03583333333333,9.990555555555554,-83.03583333333333,73459
406,CR: LimÃ³n-PococÃ­,10.5,-83.63333333333334,10.5,-83.63333333333334,10988
407,CR: LimÃ³n-Siquirres,10.135833333333332,-83.4825,10.135833333333332,-83.4825,9383
408,CR: LimÃ³n-Talamanca,9.483888888888888,-83.48861111111111,9.483888888888888,-83.48861111111111,1304
409,CR: LimÃ³n-Matina,10.013333333333334,-83.26416666666667,10.013333333333334,-83.26416666666667,2769
410,CL: Arica y Parinacota-Arica,-18.474444444444444,-70.29777777777778,-18.474444444444444,-70.29777777777778,250335
411,CL: TarapacÃ¡-Iquique,-20.213055555555556,-70.15027777777779,-20.213055555555556,-70.15027777777779,271366
412,CL: TarapacÃ¡-Alto Hospicio,-20.26861111111111,-70.10472222222222,-20.26861111111111,-70.10472222222222,243536
413,CL: Antofagasta-Calama,-22.456666666666667,-68.92361111111111,-22.456666666666667,-68.92361111111111,296944
414,CL: Antofagasta-Antofagasta,-23.65222222222222,-70.39527777777778,-23.65222222222222,-70.39527777777778,213304
415,CL: Atacama-CopiapÃ³,-27.366666666666667,-70.33138888888888,-27.366666666666667,-70.33138888888888,285958
416,CL: Atacama-Vallenar,-28.59638888888889,-70.75583333333333,-28.59638888888889,-70.75583333333333,229034
